execution_mode,prompt_length,request_count,request_rate,arrival_pattern,max_num_batched_tokens,request_throughput_rps,output_throughput_tok_s,total_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_p95_ms,itl_p99_ms,e2e_p95_ms,exact_fraction_vs_first_budget,min_matched_prefix_vs_first_budget,decode_only_iterations,prefill_only_iterations,mixed_iterations,mean_token_budget_utilization
fully-eager,512,4,0.0,burst,16384,4.30816218219186,275.72237966027905,2481.5014169425112,16.62742905318737,16.62742905318737,16.62742905318737,14.472973917330068,14.472973917330068,14.472973917330068,14.693588018417358,16.006167978048325,928.453175816685,1.0,64,63,1,0,0.002193450927734375
fully-eager,512,4,20.0,poisson,512,3.657194110265173,234.06042305697108,2106.5438075127395,52.60406051797885,62.87660387164985,64.25284719415392,14.8490113243165,15.03074496230554,15.05163769415092,18.871464766561985,20.754739176481962,998.1176961241949,1.0,64,67,1,5,0.06153681506849315
fully-eager,512,4,20.0,poisson,1024,3.7786167296513717,241.8314706976878,2176.4832362791904,28.597220676374615,41.71187922178839,43.08981647104407,14.654761265283302,14.768641028508899,14.776834159690354,15.396869275718927,20.30182583257556,963.821495257384,1.0,64,68,1,3,0.031195746527777776
fully-eager,512,4,20.0,poisson,2048,3.7593609136516433,240.59909847370517,2165.391886263347,27.268407121206174,33.64584294789562,34.01451365834114,14.625745145456186,14.681043594499075,14.688850434363953,14.938789885491133,20.335051231086254,951.3167633644549,1.0,64,69,1,2,0.015597873263888888
fully-eager,512,4,20.0,poisson,4096,3.751275485737408,240.08163108719413,2160.734679784747,27.286988403553615,34.09922518943528,34.521061026472715,14.640200232702588,14.691542437122692,14.698073614300007,15.130758751183748,20.485857254825532,952.2460151433257,1.0,64,70,1,2,0.007692101883561644
fully-eager,512,4,20.0,poisson,8192,3.7154636575898263,237.78967408574889,2140.10706677174,24.173716816836897,32.42891253598617,33.32939667753215,14.957077172954405,15.038707197481205,15.050231436237931,17.18039996922016,20.20791918039322,973.608148467472,1.0,64,69,1,2,0.003899468315972222
fully-eager,512,4,20.0,poisson,16384,3.7862751105919767,242.3216070778865,2180.8944637009786,22.8895353063764,32.85634256594466,33.75682670749064,14.720762266762673,14.809065168013884,14.821531459955231,15.727393794804811,20.365819232538342,960.264365371993,1.0,64,69,1,2,0.001949734157986111
fully-eager,512,16,0.0,burst,512,12.460645436422384,797.4813079310326,7177.331771379293,187.44969554245472,325.5480316001922,337.88725421763957,15.671245413758452,16.28037710444972,16.37844783290925,20.511959213763475,20.734916906803846,1274.0615862421691,1.0,64,63,1,16,0.224609375
fully-eager,512,16,0.0,burst,1024,14.249916139268526,911.9946329131857,8207.951696218672,97.49760804697871,163.7202634010464,175.73704412207007,15.36218992005738,15.727609270326202,15.727609270326202,20.030914805829525,21.101663820445538,1112.8515708260238,1.0,64,63,1,8,0.1247829861111111
fully-eager,512,16,0.0,burst,2048,14.922408598936835,955.0341503319574,8595.307352987616,60.2340092882514,86.2974525662139,98.63526115659623,15.598996948923856,15.809664791006417,15.809664791006417,17.031139694154263,21.24273382592945,1062.0576451765373,1.0,64,63,1,4,0.06606158088235294
fully-eager,512,16,0.0,burst,4096,15.573892037892497,996.7290904251198,8970.561813826078,39.74829753860831,59.154251241125166,70.8904604660347,15.350120086666374,15.463366269296596,15.463366269296596,16.155666671693325,19.653500989079475,1017.3022139351815,1.0,64,63,1,2,0.03403172348484849
fully-eager,512,16,0.0,burst,8192,15.901569019577243,1017.7004172529436,9159.303755276493,48.284657299518585,48.284657299518585,48.284657299518585,15.206724161370879,15.206724161370879,15.206724161370879,16.048519872128963,16.25007577240467,1006.1653512530029,1.0,64,63,1,0,0.017547607421875
fully-eager,512,16,0.0,burst,16384,15.924567622265164,1019.1723278249705,9172.550950424735,48.10994118452072,48.10994118452072,48.10994118452072,15.18478330283884,15.18478330283884,15.18478330283884,16.091105062514544,16.195563599467278,1004.7075618058443,1.0,64,63,1,0,0.0087738037109375
