batch_size,query_length,prefix_length,context_length,attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup_vs_sdpa,speedup_vs_production,max_abs_error,status,error
1,256,16384,16640,4227200,64,64,4,2,1.2600959539413452,0.7338400185108185,1.7171262429902063,1.141894651002281,3.0517578125e-05,ok,
1,256,16384,16640,4227200,128,64,8,2,1.2600959539413452,0.8479999899864197,1.4859622273834285,0.9881698133538164,3.0517578125e-05,ok,
1,384,0,384,73920,32,16,4,2,0.1377279981970787,0.08603199943900108,1.6008926805744115,0.7567416855925462,0.0009765625,ok,
1,384,0,384,73920,32,32,2,2,0.1377279981970787,0.07348800078034401,1.8741562804075778,0.8859133406685378,0.0009765625,ok,
1,384,0,384,73920,32,32,4,2,0.1377279981970787,0.06968000158667564,1.9765785743526065,0.9343283408135856,0.0009765625,ok,
1,384,0,384,73920,64,32,4,2,0.1377279981970787,0.06510400027036667,2.1155074592208774,1.0,0.0009765625,ok,
1,384,0,384,73920,64,64,4,2,0.1377279981970787,0.06286400184035301,2.1908881739162487,1.0356324504396375,0.0009765625,ok,
1,384,0,384,73920,128,64,8,2,0.1377279981970787,0.06615999713540077,2.0817412962580595,0.9840387407684899,0.0009765625,ok,
1,384,2048,2432,860352,32,16,4,2,0.24225600063800812,0.2847519963979721,0.8507613772773301,0.5584087147136043,0.0001220703125,ok,
1,384,2048,2432,860352,32,32,2,2,0.24225600063800812,0.21564799547195435,1.1233862856356307,0.7373497535774867,0.0001220703125,ok,
1,384,2048,2432,860352,32,32,4,2,0.24225600063800812,0.19313599914312363,1.2543285649118374,0.8232954862179341,0.0001220703125,ok,
1,384,2048,2432,860352,64,32,4,2,0.24225600063800812,0.1590079963207245,1.5235460243733252,1.0,0.0001220703125,ok,
1,384,2048,2432,860352,64,64,4,2,0.24225600063800812,0.1451679989695549,1.6687975473769177,1.0953377979266088,0.0001220703125,ok,
1,384,2048,2432,860352,128,64,8,2,0.24225600063800812,0.16051200032234192,1.509270335872128,0.9906299591395218,0.0001220703125,ok,
1,384,8192,8576,3219648,32,16,4,2,0.6262079775333405,0.8883360028266907,0.7049224342374313,0.49752345122604597,6.103515625e-05,ok,
1,384,8192,8576,3219648,32,32,2,2,0.6262079775333405,0.6429439783096313,0.9739697371141236,0.6874129144761055,6.103515625e-05,ok,
1,384,8192,8576,3219648,32,32,4,2,0.6262079775333405,0.5654719769954681,1.1074076223203526,0.7815913289337549,6.103515625e-05,ok,
1,384,8192,8576,3219648,64,32,4,2,0.6262079775333405,0.44196799397468567,1.4168627277775399,1.0,6.103515625e-05,ok,
1,384,8192,8576,3219648,64,64,4,2,0.6262079775333405,0.394896000623703,1.585754164499769,1.1192009877958669,6.103515625e-05,ok,
1,384,8192,8576,3219648,128,64,8,2,0.6262079775333405,0.4471360146999359,1.4004865565427025,0.9884419493054739,6.103515625e-05,ok,
1,384,16384,16768,6365376,32,16,4,2,1.1744800209999084,1.6954079866409302,0.6927418239469761,0.4871039908064294,3.0517578125e-05,ok,
