batch_size,context_length,k_splits,num_kv_blocks,production_programs,splitk_programs,production_median_ms,splitk_median_ms,speedup,kv_bytes,production_gbps,splitk_gbps,max_abs_error,status,error
1,8192,auto(44),512,12,528,0.6264159977436066,0.10334399715065956,6.061464768296013,8388608,13.391433217249148,81.17170064334465,3.814697265625e-06,ok,
1,16384,1,1024,12,12,1.2231839895248413,1.2231839895248413,1.0,16777216,13.716019947675482,13.716019947675482,0.0,ok,
1,16384,2,1024,12,24,1.2231839895248413,0.6848159730434418,1.7861499113240569,16777216,13.716019947675482,24.498867813259555,7.62939453125e-06,ok,
1,16384,4,1024,12,48,1.2231839895248413,0.37697601318359375,3.2447263134727087,16777216,13.716019947675482,44.50473084033919,7.62939453125e-06,ok,
1,16384,8,1024,12,96,1.2231839895248413,0.22145599871873856,5.523372573340644,16777216,13.716019947675482,75.75868839438392,3.814697265625e-06,ok,
1,16384,16,1024,12,192,1.2231839895248413,0.174624003469944,7.0046726980198555,16777216,13.716019947675482,96.07623045297818,3.814697265625e-06,ok,
1,16384,auto(44),1024,12,528,1.2231839895248413,0.13972800225019455,8.75403619765943,16777216,13.716019947675482,120.07053510976995,7.62939453125e-06,ok,
4,512,1,32,48,48,0.07003199681639671,0.07003199681639671,1.0,2097152,29.94562621851431,29.94562621851431,0.0,ok,
4,512,2,32,48,96,0.07003199681639671,0.09452800080180168,0.7408598110863879,2097152,29.94562621851431,22.185510983112092,3.0517578125e-05,ok,
4,512,4,32,48,192,0.07003199681639671,0.09479999914765358,0.7387341502748325,2097152,29.94562621851431,22.121856738981915,1.52587890625e-05,ok,
4,512,8,32,48,384,0.07003199681639671,0.09350400045514107,0.7489732682613388,2097152,29.94562621851431,22.428473539013098,1.52587890625e-05,ok,
4,512,16,32,48,768,0.07003199681639671,0.09486399963498116,0.7382357594647777,2097152,29.94562621851431,22.10693211407327,6.103515625e-05,ok,
4,512,auto(4),32,48,192,0.07003199681639671,0.09460799768567085,0.7402333685263442,2097152,29.94562621851431,22.16675176836166,1.52587890625e-05,ok,
4,2048,1,128,48,48,0.18243199586868286,0.18243199586868286,1.0,8388608,45.98210944333602,45.98210944333602,0.0,ok,
4,2048,2,128,48,96,0.18243199586868286,0.1419999971985817,1.284732390617998,8388608,45.98210944333602,59.07470539079549,3.0517578125e-05,ok,
4,2048,4,128,48,192,0.18243199586868286,0.11960000172257423,1.5253511140564577,8388608,45.98210944333602,70.13886186605856,1.52587890625e-05,ok,
4,2048,8,128,48,384,0.18243199586868286,0.10169599950313568,1.7938954999213885,8388608,45.98210944333602,82.48709920729326,3.0517578125e-05,ok,
4,2048,16,128,48,768,0.18243199586868286,0.0995359979569912,1.8328243008877094,8388608,45.98210944333602,84.27712759382447,3.0517578125e-05,ok,
4,2048,auto(11),128,48,528,0.18243199586868286,0.10020800307393074,1.8205331936820406,8388608,45.98210944333602,83.71195655711364,3.0517578125e-05,ok,
4,4096,1,256,48,48,0.3323360085487366,0.3323360085487366,1.0,16777216,50.48269091653259,50.48269091653259,0.0,ok,
4,4096,2,256,48,96,0.3323360085487366,0.22102399915456772,1.5036195608619203,16777216,50.48269091653259,75.90676154704478,3.0517578125e-05,ok,
4,4096,4,256,48,192,0.3323360085487366,0.17416000366210938,1.908222333260322,16777216,50.48269091653259,96.33219825000548,3.0517578125e-05,ok,
4,4096,8,256,48,384,0.3323360085487366,0.13921599835157394,2.3871969635950916,16777216,50.48269091653259,120.51212647005609,3.0517578125e-05,ok,
4,4096,16,256,48,768,0.3323360085487366,0.13310399651527405,2.4968146505698656,16777216,50.48269091653259,126.04592228058884,3.0517578125e-05,ok,
4,4096,auto(11),256,48,528,0.3323360085487366,0.13471999764442444,2.4668647146646587,16777216,50.48269091653259,124.5339689233163,3.0517578125e-05,ok,
4,8192,1,512,48,48,0.8767519891262054,0.8767519891262054,1.0,33554432,38.271292698681236,38.271292698681236,0.0,ok,
4,8192,2,512,48,96,0.8767519891262054,0.49425598978996277,1.7738823752015362,33554432,38.271292698681236,67.8887715943699,1.52587890625e-05,ok,
4,8192,4,512,48,192,0.8767519891262054,0.3051520138978958,2.8731646825033494,33554432,38.271292698681236,109.95972653559924,1.52587890625e-05,ok,
4,8192,8,512,48,384,0.8767519891262054,0.21353599429130554,4.105874478146019,33554432,38.271292698681236,157.1371239371714,1.52587890625e-05,ok,
4,8192,16,512,48,768,0.8767519891262054,0.20295999944210052,4.3198265251095505,33554432,38.271292698681236,165.32534534999468,1.52587890625e-05,ok,
4,8192,auto(11),512,48,528,0.8767519891262054,0.20238400250673294,4.332121008907498,33554432,38.271292698681236,165.79587113800514,1.52587890625e-05,ok,
4,16384,1,1024,48,48,1.7207840085029602,1.7207840085029602,1.0,67108864,38.999004911943054,38.999004911943054,0.0,ok,
4,16384,2,1024,48,96,1.7207840085029602,0.981328010559082,1.753525824176358,67108864,38.999004911943054,68.38576223027277,7.62939453125e-06,ok,
4,16384,4,1024,48,192,1.7207840085029602,0.5549600124359131,3.100735133960083,67108864,38.999004911943054,120.92558471994369,7.62939453125e-06,ok,
4,16384,8,1024,48,384,1.7207840085029602,0.3648480027914047,4.716440806411067,67108864,38.999004911943054,183.93649817611387,1.52587890625e-05,ok,
4,16384,16,1024,48,768,1.7207840085029602,0.3405120074748993,5.053519320107403,67108864,38.999004911943054,197.08222478746774,7.62939453125e-06,ok,
4,16384,auto(11),1024,48,528,1.7207840085029602,0.33641600608825684,5.115047968471281,67108864,38.999004911943054,199.4817808472358,7.62939453125e-06,ok,
8,512,1,32,96,96,0.07012799754738808,0.07012799754738808,1.0,4194304,59.809265153560865,59.809265153560865,0.0,ok,
