batch_size,context_length,heads_per_program,num_warps,num_programs,kv_read_factor,production_median_ms,grouped_median_ms,speedup,production_gbps,grouped_gbps,max_abs_error,status,error
2,16384,6,8,4,1,1.7178879976272583,6.008048057556152,0.28593113456652847,117.19424798244803,5.5849140483820765,1.9073486328125e-06,ok,
4,256,1,4,48,6,0.05257599987089634,0.06347199901938438,0.828333764229477,119.66402950869339,99.1217560058032,3.0517578125e-05,ok,
4,256,1,8,48,6,0.05257599987089634,0.060975998640060425,0.8622408987715143,119.66402950869339,103.17922035419681,3.0517578125e-05,ok,
4,256,2,4,24,3,0.05257599987089634,0.07857600226998329,0.6691101398903928,119.66402950869339,40.034207762204964,3.0517578125e-05,ok,
4,256,2,8,24,3,0.05257599987089634,0.07529599964618683,0.6982575451278827,119.66402950869339,41.77815574242538,3.0517578125e-05,ok,
4,256,3,4,16,2,0.05257599987089634,0.09624000266194344,0.5463008979288679,119.66402950869339,21.790855590128587,3.0517578125e-05,ok,
4,256,3,8,16,2,0.05257599987089634,0.09206400066614151,0.5710809816049226,119.66402950869339,22.779283811541678,3.0517578125e-05,ok,
4,256,6,4,8,1,0.05257599987089634,0.1393600031733513,0.3772674990936713,119.66402950869339,7.524224857369342,3.0517578125e-05,ok,
4,256,6,8,8,1,0.05257599987089634,0.13278400152921677,0.39595131390379074,119.66402950869339,7.896854951831523,3.0517578125e-05,ok,
4,512,1,4,48,6,0.07127999886870384,0.08603199943900108,0.8285289117247961,176.5279489296491,146.2585094156926,6.103515625e-05,ok,
4,512,1,8,48,6,0.07127999886870384,0.08100799843668938,0.8799130980184838,176.5279489296491,155.32925442953626,6.103515625e-05,ok,
4,512,2,4,24,3,0.07127999886870384,0.11523199826478958,0.6185781722270475,176.5279489296491,54.59816799794597,6.103515625e-05,ok,
4,512,2,8,24,3,0.07127999886870384,0.10833599790930748,0.6579530372570644,176.5279489296491,58.0735500795113,6.103515625e-05,ok,
4,512,3,4,16,2,0.07127999886870384,0.15243200212717056,0.46761833390626567,176.5279489296491,27.51590178879096,6.103515625e-05,ok,
4,512,3,8,16,2,0.07127999886870384,0.142815999686718,0.4991037350511432,176.5279489296491,29.36858621723511,6.103515625e-05,ok,
4,512,6,4,8,1,0.07127999886870384,0.23712000250816345,0.3006072794986996,176.5279489296491,8.844264413871201,6.103515625e-05,ok,
4,512,6,8,8,1,0.07127999886870384,0.2226400002837181,0.3201580972775296,176.5279489296491,9.419475374270231,6.103515625e-05,ok,
4,1024,1,4,48,6,0.10851199924945831,0.12964800000190735,0.8369739544602455,231.91743009126822,194.1088485717463,6.103515625e-05,ok,
4,1024,1,8,48,6,0.10851199924945831,0.12070400267839432,0.8989925507158153,231.91743009126822,208.49204203320602,6.103515625e-05,ok,
4,1024,2,4,24,3,0.10851199924945831,0.18956800550222397,0.5724172650441547,231.91743009126822,66.37677052445636,6.103515625e-05,ok,
4,1024,2,8,24,3,0.10851199924945831,0.1759520024061203,0.6167136364779662,231.91743009126822,71.51332083710527,6.103515625e-05,ok,
4,1024,3,4,16,2,0.10851199924945831,0.2634879946708679,0.41182900718116,231.91743009126822,31.83677499416436,6.103515625e-05,ok,
4,1024,3,8,16,2,0.10851199924945831,0.24407999962568283,0.4445755466071393,231.91743009126822,34.36827275018287,6.103515625e-05,ok,
4,1024,6,4,8,1,0.10851199924945831,0.4337279945611954,0.25018444880238916,231.91743009126822,9.67035573584176,6.103515625e-05,ok,
4,1024,6,8,8,1,0.10851199924945831,0.40436799824237823,0.2683496214366999,231.91743009126822,10.372492428260689,6.103515625e-05,ok,
4,2048,1,4,48,6,0.1833600029349327,0.21932800114154816,0.8360081794416997,274.4963306848372,229.48117767925748,3.0517578125e-05,ok,
4,2048,1,8,48,6,0.1833600029349327,0.20020800083875656,0.9158475294032186,274.4963306848372,251.396786287957,3.0517578125e-05,ok,
4,2048,2,4,24,3,0.1833600029349327,0.33795200288295746,0.542562261418038,274.4963306848372,74.46567496365941,3.0517578125e-05,ok,
4,2048,2,8,24,3,0.1833600029349327,0.30985599756240845,0.5917587665799561,274.4963306848372,81.21780503839149,3.0517578125e-05,ok,
4,2048,3,4,16,2,0.1833600029349327,0.4862399995326996,0.3770977359146731,274.4963306848372,34.503981606045826,3.0517578125e-05,ok,
4,2048,3,8,16,2,0.1833600029349327,0.4464319944381714,0.410723257336627,274.4963306848372,37.58067568860941,3.0517578125e-05,ok,
4,2048,6,4,8,1,0.1833600029349327,0.824752002954483,0.2223213793699051,274.4963306848372,10.171067144971767,3.0517578125e-05,ok,
4,2048,6,8,8,1,0.1833600029349327,0.7666879892349243,0.2391585697304416,274.4963306848372,10.941358307139998,3.0517578125e-05,ok,
4,4096,1,4,48,6,0.3330719918012619,0.39657600224018097,0.8398692556276799,302.22684127719754,253.8310322141848,3.0517578125e-05,ok,
