pattern,batch_size,max_prompt_length,total_prompt_tokens,causal_attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup,triton_pairs_per_second,max_abs_error,status,error
ramp,1,128,128,8256,128,64,4,2,0.06411200016736984,0.052928000688552856,1.2113059124342824,155985487.69263428,0.00048828125,ok,
ramp,1,256,256,32896,32,32,4,2,0.06712000072002411,0.053039999678730965,1.2654600514060566,620211165.1443182,0.00048828125,ok,
ramp,1,256,256,32896,64,32,4,2,0.06712000072002411,0.051952000707387924,1.2919618071701942,633199868.1875974,0.00048828125,ok,
ramp,1,256,256,32896,64,64,4,2,0.06712000072002411,0.05185599997639656,1.2943536090438001,634372107.6630161,0.00048828125,ok,
ramp,1,256,256,32896,128,64,4,2,0.06712000072002411,0.06257599964737892,1.072615716860314,525696755.7110035,0.00048828125,ok,
ramp,1,512,512,131328,32,32,4,2,0.06772800162434578,0.08630399778485298,0.7847608843472668,1521690806.576391,0.00048828125,ok,
ramp,1,512,512,131328,64,32,4,2,0.06772800162434578,0.0825280025601387,0.8206669193888697,1591314413.605254,0.00048828125,ok,
ramp,1,512,512,131328,64,64,4,2,0.06772800162434578,0.0796320028603077,0.8505123466900086,1649186197.5439525,0.00048828125,ok,
ramp,1,512,512,131328,128,64,4,2,0.06772800162434578,0.09782399982213974,0.6923454545662263,1342492642.2838576,0.00048828125,ok,
ramp,1,2048,2048,2098176,32,32,4,2,0.174127995967865,0.21782399713993073,0.799397670845259,9632437323.478764,0.0009765625,ok,
ramp,1,2048,2048,2098176,64,32,4,2,0.174127995967865,0.14699199795722961,1.1846086752187093,14274083141.658554,0.0009765625,ok,
ramp,1,2048,2048,2098176,64,64,4,2,0.174127995967865,0.1417120024561882,1.228745575179481,14805915967.835356,0.0009765625,ok,
ramp,1,2048,2048,2098176,128,64,4,2,0.174127995967865,0.19414400309324265,0.8969012341021708,10807318107.02542,0.0009765625,ok,
ramp,1,4096,4096,8390656,32,32,4,2,0.32875199615955353,0.5725120007991791,0.574227257595724,14655860468.055418,0.00048828125,ok,
ramp,1,4096,4096,8390656,64,32,4,2,0.32875199615955353,0.33347199857234955,0.9858458808145717,25161500923.38136,0.00048828125,ok,
ramp,1,4096,4096,8390656,64,64,4,2,0.32875199615955353,0.3298880010843277,0.9965563921056838,25434862657.690712,0.00048828125,ok,
